,date_service_received,open_or_boarded,vacant_or_occupied,vacant_fire,property_used,zipcode,latitude,longitude
274,1/29/2013,Open,Vacant,True,False,60619.0,41.74199289,-87.61305792
275,1/29/2013,Open,Vacant,False,True,60623.0,41.8641602,-87.72633437
276,1/30/2013,Open,Vacant,False,False,60609.0,41.80594926,-87.66125123
277,1/30/2013,Open,Vacant,False,False,60626.0,42.00667253,-87.66679666
278,1/30/2013,Open,Vacant,False,False,60636.0,41.78068553,-87.66302652
279,1/30/2013,Open,Vacant,False,False,60628.0,41.68680791,-87.62293329
280,1/30/2013,Open,Vacant,False,True,60636.0,41.76026081,-87.67462971
281,1/30/2013,Open,Vacant,False,False,60637.0,41.7779869,-87.60713694
282,1/30/2013,Open,Vacant,False,False,60636.0,41.78481489,-87.66070724
283,1/31/2013,Open,Vacant,False,False,60620.0,41.74679978,-87.62692299
284,1/31/2013,Open,Vacant,False,False,60636.0,41.78135836,-87.65940503
285,1/31/2013,Boarded,Vacant,False,True,60628.0,41.68401129,-87.64102348
286,1/31/2013,Open,Vacant,False,True,60653.0,41.82351072,-87.61854331
287,2/1/2013,Open,Vacant,False,False,60609.0,41.79402346,-87.6646625
288,2/1/2013,Open,Vacant,False,True,60647.0,41.92206548,-87.71202562
289,2/1/2013,Open,Vacant,False,True,60638.0,41.79935375,-87.77469358
290,2/1/2013,Open,Vacant,False,False,60636.0,41.78073878,-87.66060279999999
291,2/1/2013,Open,Vacant,False,True,60612.0,41.87926654,-87.70280278
292,2/1/2013,Open,Vacant,False,True,60651.0,41.89912859,-87.72742654
293,2/1/2013,Open,Vacant,False,False,60611.0,41.89334552,-87.623644
294,2/1/2013,Open,Vacant,False,False,60644.0,41.87494003,-87.74783691
295,2/1/2013,Open,Vacant,False,False,60629.0,41.78567574,-87.68747636
296,2/1/2013,Open,Vacant,False,False,60636.0,41.77573592,-87.67019926
297,2/1/2013,Open,Vacant,False,False,60624.0,41.86804198,-87.72094521
298,2/1/2013,Open,Vacant,False,True,60644.0,41.8846263,-87.75522165
299,2/1/2013,Open,Vacant,False,False,60621.0,41.76276639,-87.63094084
300,2/1/2013,Open,Vacant,False,False,60621.0,41.77165003,-87.64943478
301,2/1/2013,Open,Vacant,True,False,60623.0,41.852877,-87.72353311
302,2/1/2013,Open,Vacant,False,False,60623.0,41.85879305,-87.71154537
303,2/1/2013,Boarded,Vacant,False,False,60641.0,41.93595973,-87.7569571
304,2/1/2013,Open,Vacant,False,False,60636.0,41.76295802,-87.67633764
305,2/1/2013,Open,Vacant,False,True,60620.0,41.74898008,-87.63304367
306,2/1/2013,Open,Vacant,False,True,60644.0,41.88439985,-87.75521304
307,2/1/2013,Open,Vacant,False,False,60623.0,41.85862672,-87.71154074
308,2/1/2013,Open,Vacant,False,True,60609.0,41.79786111,-87.63171951
309,2/1/2013,Boarded,Vacant,False,False,60641.0,41.93595326,-87.75747427
310,2/1/2013,Open,Vacant,False,False,60617.0,41.75191018,-87.55289931
311,2/3/2013,Open,Vacant,False,True,60651.0,41.9065643,-87.76702363
312,2/4/2013,Open,Vacant,False,False,60623.0,41.85848192,-87.72616843
313,2/4/2013,Open,Vacant,False,True,60622.0,41.909154799999996,-87.69087454
314,2/4/2013,Open,Vacant,False,True,60653.0,41.82175603,-87.61849533
315,2/4/2013,Open,Vacant,False,True,60612.0,41.87405587,-87.66910820000001
316,2/4/2013,Open,Vacant,False,False,60619.0,41.75304444,-87.60891652
317,2/4/2013,Open,Vacant,False,False,60621.0,41.77243088,-87.64760967
318,2/4/2013,Open,Vacant,False,True,60644.0,41.88524636,-87.75891636
319,2/4/2013,Open,Vacant,False,True,60644.0,41.87856169,-87.7480087
320,2/5/2013,Open,Vacant,False,False,60623.0,41.85837098,-87.70665756
321,2/5/2013,Open,Vacant,False,False,60653.0,41.81097868,-87.59610093
322,2/5/2013,Open,Vacant,False,True,60644.0,41.88975756,-87.75051648
323,2/5/2013,Open,Vacant,False,True,60628.0,41.69618239,-87.61834024
324,2/5/2013,Open,Vacant,False,False,60620.0,41.74988731,-87.64157947
325,2/5/2013,Open,Vacant,False,True,60636.0,41.77889386,-87.66907035
326,2/5/2013,Open,Vacant,False,False,60636.0,41.77894977,-87.65571515
327,2/5/2013,Open,Vacant,False,False,60636.0,41.78139713,-87.65623409999999
328,2/5/2013,Open,Vacant,True,True,60644.0,41.89134752,-87.74929288
329,2/5/2013,Boarded,Vacant,False,False,60623.0,41.84904963,-87.70272211
