SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,14-00453355,3/31/2014,Front,,Open,FRONT DOOR,Vacant,FALSE,FALSE,8145,S,ELIZABETH,ST,60620,1169407.654,1850767.801,21,6,71,41.74601195,-87.65483098,"(41.74601195083216, -87.65483097891445)"
Vacant/Abandoned Building,14-00455793,3/31/2014,Front,,Open,FRONT DOOR,Vacant,FALSE,TRUE,8526,S,MAY,ST,60620,1170141.674,1848260.729,21,6,71,41.73911629,-87.65221409,"(41.73911628563213, -87.6522140887199)"
Vacant/Abandoned Building,14-00438553,3/27/2014,Front,,Open,WINDOWS,Vacant,FALSE,FALSE,221,W,109TH,ST,60628,1176740.915,1832661.569,34,5,49,41.69616421,-87.62850365,"(41.696164207158894, -87.62850365456248)"
Vacant/Abandoned Building,14-00414221,3/23/2014,Front,,Open,FRONT GATE IS WIDE OPEN AND REAR,Vacant,FALSE,TRUE,1839,N,KEYSTONE,AVE,60639,1149093.049,1911930.354,30,25,20,41.9142658,-87.72768873,"(41.914265801725875, -87.72768872654171)"
Vacant/Abandoned Building,14-00393828,3/19/2014,Rear,,Open,,Vacant,FALSE,FALSE,56,E,50TH,ST,60615,1177651.099,1871893.41,3,2,38,41.80380051,-87.62398692,"(41.80380051320644, -87.62398692054093)"
Vacant/Abandoned Building,14-00395804,3/19/2014,Front,,Open,FRONT,Vacant,FALSE,TRUE,3920,W,NORTH,AVE,60647,1149913.507,1910347.22,30,25,23,41.90990559,-87.72471574,"(41.90990559271348, -87.72471574379608)"
Vacant/Abandoned Building,14-00402891,3/20/2014,Front,,Boarded,FRONT AND REAR,Vacant,FALSE,TRUE,4700,S,WABASH,AVE,60615,1177506.248,1873882.463,3,2,38,41.80926194,-87.62445799,"(41.80926193534075, -87.62445799048963)"
Vacant/Abandoned Building,14-00366634,3/14/2014,Front,,Open,2 FL REAR DOOR,Vacant,FALSE,FALSE,4030,S,INDIANA,AVE,60653,1178264.452,1878332.662,3,2,38,41.82145646,-87.62154186,"(41.82145646277251, -87.62154185553808)"
Vacant/Abandoned Building,14-00374335,3/17/2014,Garage,,Open,,Vacant,FALSE,FALSE,741,W,54TH,PL,60609,1172285.33,1868727.434,3,9,61,41.79523257,-87.64375896,"(41.79523257465144, -87.6437589577825)"
Vacant/Abandoned Building,14-00380433,3/17/2014,Front,,Boarded,3RD FLOOR BACK DOOR IS OPEN,Vacant,FALSE,TRUE,739,N,HOMAN,AVE,60624,1153578.088,1904721.878,27,11,23,41.89439699,-87.71140331,"(41.89439698758687, -87.71140331394821)"
